Iteration	Y	var_1	var_2	var_3	var_4	var_5	var_6	var_7	var_8
119.0	-2.7756685877869924	3.0	3.0	3.0	1.033127346465712	-3.0	3.0	-3.0	-1.472445299258281
120.0	-2.8057274777569687	3.0	-0.38307147652963947	3.0	1.4120349134157393	0.37983517368798425	3.0	-2.0491652175333614	2.092772413416148
121.0	-2.816526610902634	3.0	1.0811035905680977	3.0	0.8075705528350358	-0.6758366651422819	3.0	-3.0	2.436496123532259
122.0	-2.7991511658318253	3.0	-1.4990343146449685	3.0	3.0	1.3967297612751741	3.0	-3.0	-0.22987574913042896
123.0	-2.7072015107003624	3.0	-0.6189600730460292	1.6052681595504028	3.0	3.0	3.0	-0.5976162288145753	-1.0821094076233095
124.0	-2.804186300916188	3.0	3.0	3.0	1.4924216605982101	-0.3370367349883536	0.26012445636545656	-3.0	3.0
125.0	-2.7683701672167196	3.0	3.0	3.0	3.0	-3.0	-3.0	-3.0	-3.0
126.0	-2.679052321923947	3.0	-3.0	3.0	3.0	3.0	-3.0	-3.0	-3.0
127.0	-2.767167437401857	3.0	-1.8882283263426403	3.0	3.0	3.0	0.24725793915227876	-3.0	-3.0
128.0	-2.773945034163794	3.0	3.0	1.7548836280561246	-0.5027416903293106	0.16010741014688923	1.949628125748875	-0.27741004442570616	2.1982136714274807
129.0	-2.5928381135514527	3.0	3.0	3.0	-0.8314902020634906	-3.0	-3.0	-3.0	3.0
130.0	-2.739872348441089	3.0	0.8653148027952016	1.4009064697565572	1.0694278950120635	2.279700252499385	3.0	-0.07343067131577755	1.0088452622273103
131.0	-2.7042052329606836	2.8253497484559706	2.7867899040682946	1.7053465779310326	-0.024219840278242512	-0.7674275633954186	-0.13234747049542556	0.8492350165585099	2.800477866030583
132.0	-2.77710483462479	3.0	-0.9830166238103055	3.0	1.2623007513582352	3.0	3.0	-3.0	-3.0
133.0	-2.4217700314454444	3.0	3.0	-0.3569230001383203	3.0	3.0	3.0	0.2555392843455827	-0.034804667142538125
134.0	-2.751475362626548	3.0	-1.2582085380194534	3.0	3.0	-1.4245084507864993	-3.0	-3.0	-3.0
135.0	-2.780404940167888	3.0	-1.4597403555253934	3.0	3.0	-1.4705977955191911	0.0993068239104882	-3.0	-3.0
136.0	-2.762503047725606	3.0	-0.6943133063538599	3.0	1.6581954865772168	3.0	3.0	-1.1442609766254568	0.5145392016245088
137.0	-0.8652303898598278	2.722430942645624	1.1643716471245167	0.5774722238042758	-2.4336809702148647	-1.7767252263473419	-1.6716278689690496	2.5308723684674295	2.993271420267508
138.0	-2.768767814038247	3.0	0.954360858669675	3.0	3.0	-3.0	-1.2155117868143774	-3.0	-3.0
139.0	-2.7888706930729903	3.0	3.0	3.0	1.349480535435288	-3.0	-1.6343301119802582	-3.0	0.6221660962652937
140.0	-2.7782649688724144	3.0	3.0	3.0	3.0	-1.9160003426199377	-3.0	-3.0	-0.6882595666229788
141.0	-2.769280815060033	3.0	-2.6462401705274963	3.0	0.6546118446423506	-3.0	3.0	-3.0	-3.0
142.0	-2.7724043508234333	3.0	-1.0644672013631349	3.0	1.530642994846187	-0.7047703028331004	3.0	-3.0	-1.6213061254020311
143.0	-2.2631363279272123	3.0	-1.693878011840487	3.0	3.0	3.0	3.0	2.363913321002904	3.0
144.0	-2.7722336927633595	3.0	-0.8381822461727438	3.0	3.0	0.4378962194183935	-1.16026478947448	-3.0	-1.1253808188606294
145.0	-2.7561306802491385	3.0	-1.450463418419761	3.0	3.0	0.6149230153058635	-1.4775357566715739	-3.0	-3.0
146.0	-0.8728918123020832	0.6231839639297894	2.649834313888184	2.698330774711856	2.196700574144158	0.42004739309393546	-2.715067600815673	-1.8473608340421601	2.132205137810688
147.0	-2.6777210168974572	3.0	-3.0	3.0	0.6156528157612411	-3.0	-3.0	-3.0	-3.0
148.0	-2.704904368249881	3.0	3.0	1.221136877482541	1.5207628703560752	-3.0	-3.0	-3.0	-0.9184668180966716
149.0	-2.7822916621155658	3.0	3.0	2.346700447223622	0.4327757498237691	-0.7563796380928888	-0.04254943670767186	0.0675149241202907	2.7783967360370796
150.0	-2.7884903987288583	3.0	3.0	3.0	-0.36486924064318366	2.448614918105184	3.0	-3.0	1.3768333115532727
151.0	-2.785096784292959	3.0	3.0	3.0	0.5537750500438	-3.0	0.3331967077529858	-3.0	3.0
152.0	-2.7640201981395527	3.0	-0.48929350647506537	3.0	0.8022972783110721	3.0	-3.0	-3.0	-3.0
153.0	-2.763076031906459	3.0	0.7182336966532279	3.0	0.842571650161145	-3.0	-3.0	-3.0	-3.0
